State,1951,1961,1971,1981,1991,2001
Andaman and Nicobar Islands,Andaman and Nicobar,Andaman and Nicobar Islands,Andaman and Nicobar Islands,Andaman and Nicobar Islands,Andaman and Nicobar Islands,Andaman and Nicobar Islands
Andaman and Nicobar Islands,Andaman and Nicobar,Andaman and Nicobar Islands,Andaman and Nicobar Islands,Andaman,Andaman,Andaman
Andaman and Nicobar Islands,Andaman and Nicobar,Andaman and Nicobar Islands,Andaman and Nicobar Islands,Nicobar,Nicobar,Nicobar
Andhra Pradesh,Srikakulam,Srikakulam,Srikakulam,Srikakulam,Srikakulam,Srikakulam
Andhra Pradesh,Srikakulam,Srikakulam,Srikakulam,Vizianagaram,Vizianagaram,Vizianagaram
Andhra Pradesh,Vizagapatnam,Visakhapatnam,Visakhapatnam,Visakhapatnam,Visakhapatnam,Visakhapatnam
Andhra Pradesh,Vizagapatnam,Visakhapatnam,Visakhapatnam,Vizianagaram,Vizianagaram,Vizianagaram
Andhra Pradesh,East Godavari,East Godavari,East Godavari,East Godavari,East Godavari,East Godavari
Andhra Pradesh,West Godavari,West Godavari,West Godavari,West Godavari,West Godavari,West Godavari
Andhra Pradesh,Krishna,Krishna,Krishna,Krishna,Krishna,Krishna
Andhra Pradesh,Guntur,Guntur,Guntur,Guntur,Guntur,Guntur
Andhra Pradesh,Guntur,Guntur, Ongole, Ongole, Ongole, Ongole
Andhra Pradesh,Nellore,Nellore,Nellore,Nellore,Nellore,Nellore
Andhra Pradesh,Nellore,Nellore,Ongole,Ongole,Ongole,Ongole
Andhra Pradesh,Chittoor,Chittoor,Chittoor,Chittoor,Chittoor,Chittoor
Andhra Pradesh,Cuddapah,Cuddapah,Cuddapah,Cuddapah,Cuddapah,Cuddapah
Andhra Pradesh,Anantapur,Anantapur,Anantapur,Anantapur,Anantapur,Anantapur
Andhra Pradesh,Kurnool,Kurnool,Kurnool,Kurnool,Kurnool,Kurnool
Andhra Pradesh,Kurnool,Kurnool,Ongole,Ongole,Ongole,Ongole
Andhra Pradesh,Mahbubnagar,Mahbubnagar,Mahbubnagar,Mahbubnagar,Mahbubnagar,Mahbubnagar
Andhra Pradesh,Hyderabad,Hyderabad,Hyderabad,Hyderabad,Hyderabad,Hyderabad
Andhra Pradesh,Hyderabad,Hyderabad,Hyderabad,Rangareddi,Rangareddi,Rangareddi
Andhra Pradesh,Medak,Medak,Medak,Medak,Medak,Medak
Andhra Pradesh,Nizamabad,Nizamabad,Nizamabad,Nizamabad,Nizamabad,Nizamabad
Andhra Pradesh,Adilabad,Adilabad,Adilabad,Adilabad,Adilabad,Adilabad
Andhra Pradesh,Karimnagar,Karimnagar,Karimnagar,Karimnagar,Karimnagar,Karimnagar
Andhra Pradesh,Warangal,Warangal,Warangal,Warangal,Warangal,Warangal
Andhra Pradesh,Warangal,Khammam,Khammam,Khammam,Khammam,Khammam
Andhra Pradesh,Nalgonda,Nalgonda,Nalgonda,Nalgonda,Nalgonda,Nalgonda
Arunachal Pradesh,Balipara Frontier Tract,Kameng Frontier Division,Kameng,West Kameng,West Kameng,West Kameng
Arunachal Pradesh,Balipara Frontier Tract,Kameng Frontier Division,Kameng Frontier Division,Kameng Frontier Division,Tawang,Tawang
Arunachal Pradesh,Balipara Frontier Tract,Kameng Frontier Division,Kameng Frontier Division,East Kameng,East Kameng,East Kameng
Arunachal Pradesh,Balipara Frontier Tract,Subansiri Frontier Division,Subansiri,Lower Subansiri,Lower Subansiri,Lower Subansiri
Arunachal Pradesh,Balipara Frontier Tract,Subansiri Frontier Division,Subansiri Frontier Division,Subansiri Frontier Division,Subansiri Frontier Division,Papum Pare
Arunachal Pradesh,Balipara Frontier Tract,Subansiri Frontier Division,Subansiri Frontier Division,Subansiri Frontier Division,Upper Subansiri,Upper Subansiri
Arunachal Pradesh,Abor Hills,Siang Frontier Division,Siang,West Siang,West Siang,West Siang
Arunachal Pradesh,Abor Hills,Siang Frontier Division,Siang,Upper Subansiri,Upper Subansiri,Upper Subansiri
Arunachal Pradesh,Abor Hills,Siang Frontier Division,Siang,East Siang,East Siang,East Siang
