generic_name,therapeutic_class
Amitriptyline,Nervous system
Amlodipine,Cardiovascular system
Amoxicillin,Alimentary tract and metabolism
Aspirin,Nervous system
Atenolol,Cardiovascular system
Atorvastatin,Cardiovascular system
Azithromycin,Antiinfectives for systemic use
Bisoprolol,Cardiovascular system
Budesonide,Respiratory system
Ceftriaxone,Antiinfectives for systemic use
Cephalexin,Antiinfectives for systemic use
Cetirizine,Respiratory system
Ciprofloxacin,Sensory organs
Clindamycin,Dermatologicals
Clopidogrel,Blood and blood forming organs
Dexamethasone,Sensory organs
Diazepam,Nervous system
Diclofenac,Musculo-skeletal system
Doxycycline,Alimentary tract and metabolism
Enalapril,Cardiovascular system
Esomeprazole,Alimentary tract and metabolism
Fluoxetine,Nervous system
Fluticasone,Respiratory system
Furosemide,Cardiovascular system
Gabapentin,Nervous system
Glibenclamide,Alimentary tract and metabolism
Gliclazide,Alimentary tract and metabolism
Heparin,Blood and blood forming organs
Hydrochlorothiazide,Cardiovascular system
Hydrocortisone,Dermatologicals
Ibuprofen,Nervous system
Insulin,Alimentary tract and metabolism
Levetiracetam,Nervous system
Levothyroxine,Systemic hormonal preparations
Loratadine,Respiratory system
Lorazepam,Nervous system
Losartan,Cardiovascular system
Metformin,Alimentary tract and metabolism
Metoclopramide,Alimentary tract and metabolism
Metronidazole,Alimentary tract and metabolism
Montelukast,Respiratory system
Morphine,Nervous system
Naproxen,Musculo-skeletal system
Omeprazole,Alimentary tract and metabolism
Ondansetron,Alimentary tract and metabolism
Pantoprazole,Alimentary tract and metabolism
Paracetamol,Nervous system
Prednisolone,Sensory organs
Ramipril,Cardiovascular system
Ranitidine,Alimentary tract and metabolism
Rivaroxaban,Blood and blood forming organs
Rosuvastatin,Cardiovascular system
Salbutamol,Respiratory system
Sertraline,Nervous system
Simvastatin,Cardiovascular system
Sitagliptin,Alimentary tract and metabolism
Spironolactone,Cardiovascular system
Telmisartan,Cardiovascular system
Theophylline,Respiratory system
Tramadol,Nervous system
Trimethoprim,Antiinfectives for systemic use
Warfarin,Blood and blood forming organs
